		ISO-8859-13 (ISO Latin7) character set

octal	hex	PostScript	HTML entity	character
----------------------------------------------------------------------
000	0x00	non-printable
001	0x01	non-printable
002	0x02	non-printable
003	0x03	non-printable
004	0x04	non-printable
005	0x05	non-printable
006	0x06	non-printable
007	0x07	non-printable

010	0x08	non-printable
011	0x09	non-printable
012	0x0a	non-printable
013	0x0b	non-printable
014	0x0c	non-printable
015	0x0d	non-printable
016	0x0e	non-printable
017	0x0f	non-printable

020	0x10	non-printable
021	0x11	non-printable
022	0x12	non-printable
023	0x13	non-printable
024	0x14	non-printable
025	0x15	non-printable
026	0x16	non-printable
027	0x17	non-printable

030	0x18	non-printable
031	0x19	non-printable
032	0x1a	non-printable
033	0x1b	non-printable
034	0x1c	non-printable
035	0x1d	non-printable
036	0x1e	non-printable
037	0x1f	non-printable

040	0x20	/space
041	0x21	/exclam
042	0x22	/quotedbl
043	0x23	/numbersign
044	0x24	/dollar
045	0x25	/percent
046	0x26	/ampersand
047	0x27	/quoteright

050	0x28	/parenleft
051	0x29	/parenright
052	0x2a	/asterisk
053	0x2b	/plus
054	0x2c	/comma
055	0x2d	/minus
056	0x2e	/period
057	0x2f	/slash

060	0x30	/zero
061	0x31	/one
062	0x32	/two
063	0x33	/three
064	0x34	/four
065	0x35	/five
066	0x36	/six
067	0x37	/seven

070	0x38	/eight
071	0x39	/nine
072	0x3a	/colon
073	0x3b	/semicolon
074	0x3c	/less
075	0x3d	/equal
076	0x3e	/greater
077	0x3f	/question

0100	0x40	/at
0101	0x41	/A
0102	0x42	/B
0103	0x43	/C
0104	0x44	/D
0105	0x45	/E
0106	0x46	/F
0107	0x47	/G

0110	0x48	/H
0111	0x49	/I
0112	0x4a	/J
0113	0x4b	/K
0114	0x4c	/L
0115	0x4d	/M
0116	0x4e	/N
0117	0x4f	/O

0120	0x50	/P
0121	0x51	/Q
0122	0x52	/R
0123	0x53	/S
0124	0x54	/T
0125	0x55	/U
0126	0x56	/V
0127	0x57	/W

0130	0x58	/X
0131	0x59	/Y
0132	0x5a	/Z
0133	0x5b	/bracketleft
0134	0x5c	/backslash
0135	0x5d	/bracketright
0136	0x5e	/asciicircum
0137	0x5f	/underscore

0140	0x60	/quoteleft
0141	0x61	/a
0142	0x62	/b
0143	0x63	/c
0144	0x64	/d
0145	0x65	/e
0146	0x66	/f
0147	0x67	/g

0150	0x68	/h
0151	0x69	/i
0152	0x6a	/j
0153	0x6b	/k
0154	0x6c	/l
0155	0x6d	/m
0156	0x6e	/n
0157	0x6f	/o

0160	0x70	/p
0161	0x71	/q
0162	0x72	/r
0163	0x73	/s
0164	0x74	/t
0165	0x75	/u
0166	0x76	/v
0167	0x77	/w

0170	0x78	/x
0171	0x79	/y
0172	0x7a	/z
0173	0x7b	/braceleft
0174	0x7c	/bar
0175	0x7d	/braceright
0176	0x7e	/asciitilde
0177	0x7f	non-printable

0200	0x80	non-printable
0201	0x81	non-printable
0202	0x82	non-printable
0203	0x83	non-printable
0204	0x84	non-printable
0205	0x85	non-printable
0206	0x86	non-printable
0207	0x87	non-printable

0210	0x88	non-printable
0211	0x89	non-printable
0212	0x8a	non-printable
0213	0x8b	non-printable
0214	0x8c	non-printable
0215	0x8d	non-printable
0216	0x8e	non-printable
0217	0x8f	non-printable

0220	0x90	non-printable
0221	0x91	non-printable
0222	0x92	non-printable
0223	0x93	non-printable
0224	0x94	non-printable
0225	0x95	non-printable
0226	0x96	non-printable
0227	0x97	non-printable

0230	0x98	non-printable
0231	0x99	non-printable
0232	0x9a	non-printable
0233	0x9b	non-printable
0234	0x9c	non-printable
0235	0x9d	non-printable
0236	0x9e	non-printable
0237	0x9f	non-printable

0240	0xa0	/space
0241	0xa1	/quotedblright
0242	0xa2	/cent
0243	0xa3	/sterling
0244	0xa4	/currency
0245	0xa5	/quotedblbase
0246	0xa6	/brokenbar
0247	0xa7	/section

0250	0xa8	/Oslash
